sku,img,title,price,price_sale,cat,desc
,/fileadmin/_processed_/csm_21029429_bea15d4834.jpg,"Trpezarijski set Viktorija"," 61.320,00 RSD ",,,"Tačan naziv dezena je: konstrukcija - univer boja bela, sedište/naslon - štof siva savoy, duži desni deo, ugao levo. Trpezarijski set Viktorija sa ugaom klupom modernim i praktičnim policama u nosivom delu stola, pa se ceo&nbsp;trpezarijski set VIKTORIJA&nbsp;može smatrati izuzetno funkcionalnim rešenjem, tradicionalnog karaktera, za savremene, moderne domove."
,/fileadmin/_processed_/csm_21030533_c355434909.jpg,"Regal ARISTA RSTM132"," 62.120,00 RSD ",,,"Tačan naziv dezena je: korpus iverica Concrete Optic Light Grey U41, front iverica Concrete Optic Light Grey U41 White 120. Regal ARISTA RSMT132 karakteriše dizajn čistih linija i bogate teksture, kao i skladna kombinacija elemenata sa poluotvorenim, zastakljenim i otvorenim rešenjima. Zahvaljujući unapređenoj funkcionalnosti upotrebnog prostora ovaj model regala predstavlja idealan izbor za uređenje dnevnog boravka.

"
,/fileadmin/_processed_/csm_21013452_e3002dafe4.jpg,"Dvosed ČESTER"," 62.653,00 RSD ",,," Sunđer. "
,/fileadmin/_processed_/csm_21021673_35cda7ca41.jpg,"Ležaj EXTRA"," 62.653,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21030814_6d062f65a3.jpg,"Dušek KAŠMIR 160X200"," 63.987,00 RSD ",,,"Dušek KAŠMIR 160x200 osiguraće vam kvalitetan odmor i san zahvaljujući udobnosti koja se postiže uz pomoć džepičastog jezgra dimenzija 20 cm. Ovaj model poseduje ivična ojačanja, PU penu, memory penu, kao i skidajuću navlaku. Visina dušeka je 33mm."
,/fileadmin/_processed_/csm_21025005_221614c9d5.jpg,"Ugaona garnitura COOL"," 63.986,00 RSD ",,," Sunđer. Obaranje naslona. Univerzalni ugao. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21013518_e1eb74e5de.jpg,"Dušek MEMORY EXTRA 160x200"," 65.120,00 RSD ",,,"Dušek MEMORY EXTRA 160x200 izrađen je od dva sloja PU-pene i pruža optimalan odmor i opuštanje."
,/fileadmin/_processed_/csm_21022064_c952d431df.jpg,"Trosed TINA"," 65.320,00 RSD ",,," Sunđer. Latoflex mehanizam. "
,/fileadmin/_processed_/csm_21029381_e1e1325585.jpg,"Dušek APOLON 160x200"," 66.653,00 RSD ",,,"Dušek APOLON 160x200 poseduje penu Memo cool u svojstvu gela koji reguliše temperaturu tokom sna. Sama pena ima efekat “memorijskog oblika”, koji garantuje izuzetan komfor. Memo cool pena je nova tehnologija naše kompanije, koja za 50% manje skuplja toplotu od standardne Memory pene. U donjem delu dušeka nalaze se 2 sloja najkvalitetnije HR pene (HR35 i HR37) i sloj EL35 pene, radi bolje potpore kičmenog stuba. Visina dušeka je 30 cm. Dizajniran je za težinu preko 130kg."
,/fileadmin/_processed_/csm_21016632_6dc68367ae.jpg,"Trosed ALBA"," 66.653,00 RSD ",,," Žičano jezgro i sunđer. Klik-klak mehanizam. Jedna kutija za posteljinu. "
